"Symbol","LTP","%Chng","Volume"
"ZEEL","198.40","14.06","14,48,63,037"
"GAIL","101.80","5.00","3,68,80,960"
"TECHM","729.00","2.24","65,07,682"
"BHARTIARTL","536.00","1.84","1,70,75,491"
"MARUTI","6,999.45","1.54","13,26,450"
